id,group,program_week,progress_bin,progress,weekly_best_run,weekly_median_run,weekly_mean_run,weekly_total_distance_km,weekly_n_sessions,weekly_mean_valid_time_ratio,weekly_mean_running_time_ratio
1550,B,1.0,0-25%,0.1,3.25,2.883,3.0,6.237,3,0.9856666666666666,0.7233333333333333
1550,B,2.0,0-25%,0.2,15.233,5.55,7.938666666666667,5.211,3,1.0,0.836
1550,B,3.0,25-50%,0.3,13.567,11.375,11.375,5.8629999999999995,2,1.0,0.9615
1550,B,4.0,25-50%,0.4,22.967,7.7829999999999995,11.33325,13.975999999999999,4,0.97775,0.9245
1550,B,5.0,25-50%,0.5,25.033,19.383,19.966333333333335,11.399999999999999,3,0.8933333333333334,0.9239999999999999
1550,B,6.0,50-75%,0.6,27.733,24.9,23.438666666666666,12.675,3,0.9873333333333333,0.9833333333333334
1550,B,7.0,50-75%,0.7,41.4,29.95,29.95,10.67,2,0.9390000000000001,0.9465
1550,B,8.0,75-100%,0.8,18.067,15.167,15.167,11.193999999999999,2,0.9450000000000001,0.914
2500,A,2.0,25-50%,0.286,24.55,24.55,24.55,2.855,1,1.0,0.686
2729,B,1.0,0-25%,0.1,3.65,3.65,3.65,4.824,1,1.0,0.396
2729,B,2.0,0-25%,0.2,9.867,8.3585,8.3585,3.782,2,1.0,0.7915000000000001
2729,B,3.0,25-50%,0.3,20.7,13.75,13.75,5.99,2,1.0,0.6665
2729,B,6.0,50-75%,0.6,7.3,7.3,7.3,3.088,1,1.0,0.819
2729,B,7.0,50-75%,0.7,25.117,25.117,25.117,3.259,1,1.0,0.89
3476,A,1.0,0-25%,0.143,1.583,1.267,1.3056666666666665,3.584,3,1.0,0.16633333333333333
3476,A,2.0,25-50%,0.286,3.45,2.4085,2.4085,6.1899999999999995,2,1.0,0.2535
3476,A,3.0,25-50%,0.429,2.1,1.8585,1.8585,3.356,2,1.0,0.1945
4704,A,1.0,0-25%,0.125,12.017,7.6585,7.6585,7.92,2,0.8125,0.7905
4704,A,5.0,50-75%,0.625,14.067,6.833500000000001,7.571000000000001,10.088,4,1.0,0.8065
4704,A,6.0,50-75%,0.75,13.317,13.317,13.317,10.236,1,0.643,0.954
5801,B,1.0,0-25%,0.167,10.783,10.783,10.783,2.641,1,1.0,0.812
5801,B,2.0,25-50%,0.333,24.7,20.05,19.6125,12.602,4,1.0,0.8335
5801,B,3.0,25-50%,0.5,23.217,21.4165,19.424999999999997,13.307,4,1.0,0.9105000000000001
5801,B,4.0,50-75%,0.667,25.0,20.799999999999997,19.591749999999998,13.821,4,1.0,0.9255
5801,B,5.0,75-100%,0.833,17.783,16.225,16.1,19.209,4,0.98825,0.8714999999999999
5801,B,6.0,75-100%,1.0,23.333,17.45,18.483333333333334,12.733,3,1.0,0.9199999999999999
6018,B,4.0,25-50%,0.4,7.5,7.5,7.5,4.078,1,1.0,0.926
6205,A,1.0,0-25%,0.167,8.883,6.117,6.608499999999999,13.15,4,0.975,0.59775
6205,A,2.0,25-50%,0.333,15.333,8.117,9.45425,13.941,4,0.9924999999999999,0.5880000000000001
6205,A,3.0,25-50%,0.5,20.25,7.817,10.71675,16.217,4,0.9722500000000001,0.64775
6205,A,4.0,50-75%,0.667,29.283,6.883,14.027666666666669,14.27,3,0.991,0.6496666666666666
6205,A,5.0,75-100%,0.833,28.117,18.2665,19.9125,19.222,4,0.98625,0.70125
6205,A,6.0,75-100%,1.0,34.933,32.117,30.844333333333335,18.233,3,1.0,0.5486666666666666
6557,A,1.0,0-25%,0.167,1.367,1.367,1.367,3.668,2,1.0,0.56
6557,A,2.0,25-50%,0.333,2.783,2.4829999999999997,2.4829999999999997,2.245,2,1.0,0.6825
6557,A,3.0,25-50%,0.5,3.417,2.417,2.7389999999999994,5.044,3,1.0,0.7236666666666666
6557,A,4.0,50-75%,0.667,3.483,3.483,3.483,2.308,1,1.0,0.765
6557,A,5.0,75-100%,0.833,5.917,5.917,5.917,4.353,1,1.0,0.354
6557,A,6.0,75-100%,1.0,5.333,4.4665,4.4665,7.689,2,1.0,0.4955
6841,A,1.0,0-25%,0.143,8.567,5.6085,6.10025,10.619,4,0.97575,0.4935
6841,A,2.0,25-50%,0.286,14.3,9.983,10.838666666666668,6.671,3,0.8969999999999999,0.707
6841,A,3.0,25-50%,0.429,22.05,12.05,11.47,11.885,5,0.9885999999999999,0.8262
6841,A,4.0,50-75%,0.571,7.517,7.467,6.661333333333334,7.115,3,1.0,0.7003333333333334
6841,A,5.0,50-75%,0.714,14.8,9.633,10.483333333333333,9.071,3,0.9883333333333333,0.8603333333333333
6841,A,6.0,75-100%,0.857,20.033,16.25,16.25,6.094,2,0.9775,0.9450000000000001
6841,A,7.0,75-100%,1.0,25.033,10.45,15.0,8.524000000000001,3,0.9780000000000001,0.9043333333333333
7050,A,1.0,0-25%,0.125,3.733,3.733,3.733,1.127,1,1.0,0.494
7050,A,2.0,0-25%,0.25,4.083,4.083,4.083,1.917,1,1.0,0.414
7050,A,3.0,25-50%,0.375,7.717,5.1835,5.46675,9.776,4,1.0,0.58775
7050,A,4.0,25-50%,0.5,4.283,3.717,3.7276666666666665,7.0489999999999995,3,0.9660000000000001,0.5423333333333333
7050,A,5.0,50-75%,0.625,11.317,9.833,9.60825,10.929,4,1.0,0.70425
7050,A,6.0,50-75%,0.75,18.183,11.067,11.3625,12.553,4,0.99325,0.764
7050,A,7.0,75-100%,0.875,20.067,9.983,12.488999999999999,11.285,3,1.0,0.838
7050,A,8.0,75-100%,1.0,26.367,17.517,17.0045,12.626000000000001,4,0.9745,0.99
8441,A,1.0,0-25%,0.125,25.55,23.925,23.925,6.577999999999999,2,0.986,0.699
8441,A,2.0,0-25%,0.25,34.85,22.367,26.393400000000003,18.508,5,0.967,0.5828
8441,A,3.0,25-50%,0.375,28.867,28.867,28.867,4.594,1,0.857,0.619
8441,A,4.0,25-50%,0.5,18.933,18.933,18.933,4.963,1,0.955,0.59
8441,A,7.0,75-100%,0.875,30.983,30.983,30.983,5.531,1,0.946,0.921
8865,B,1.0,0-25%,0.143,3.883,2.0,2.3165,5.058,4,1.0,0.59475
8865,B,2.0,25-50%,0.286,6.083,3.017,3.7966,8.919,5,1.0,0.7128
8865,B,3.0,25-50%,0.429,10.85,6.175,6.75425,9.25,4,1.0,0.7355
8865,B,4.0,50-75%,0.571,11.967,9.8585,9.08775,10.132,4,1.0,0.82925
8865,B,5.0,50-75%,0.714,22.267,12.383,14.889000000000001,10.604,3,1.0,0.9199999999999999
8865,B,6.0,75-100%,0.857,25.25,21.267,19.593600000000002,15.422,5,1.0,0.9795999999999999
8865,B,7.0,75-100%,1.0,26.583,25.233,23.461,13.164000000000001,3,1.0,0.9856666666666666
9246,A,1.0,0-25%,0.143,7.667,5.1165,5.25825,8.522,4,0.9975,0.8355
9246,A,2.0,25-50%,0.286,5.117,3.65,3.2833333333333337,4.098,3,0.9866666666666667,0.6303333333333333
9246,A,3.0,25-50%,0.429,10.067,6.9079999999999995,7.254,7.157,4,1.0,0.92125
9246,A,4.0,50-75%,0.571,10.1,7.5920000000000005,7.86275,9.147,4,0.98075,0.94875
9246,A,5.0,50-75%,0.714,14.417,12.3335,12.3335,5.9,2,1.0,0.9610000000000001
9246,A,6.0,75-100%,0.857,19.167,13.975000000000001,13.975000000000001,6.2780000000000005,2,0.9685,0.9445
9884,A,1.0,0-25%,0.143,17.383,8.083,10.199666666666667,9.936,3,1.0,0.6776666666666666
9884,A,2.0,25-50%,0.286,15.617,9.9585,10.90025,11.385,4,0.9842500000000001,0.83425
