session,date,start_time,elapsed_min,moving_min,distance_km,moving_ratio
Course a pied_2026-04-14 17_19_24.fit,2026-04-14,2026-04-14 17:19:24,24.03,23.92,2.81,1.0
Musculation_2026-04-11 16_35_06.fit,2026-04-11,2026-04-11 16:35:06,23.85,0.0,0.0,0.0
Course a pied_2026-04-19 09_46_30.fit,2026-04-19,2026-04-19 09:46:30,26.65,22.97,2.85,0.86
Course a pied_2026-04-11 17_08_22.fit,2026-04-11,2026-04-11 17:08:22,12.05,12.03,1.7,1.0
Course a pied_2026-04-17 10_12_00.fit,2026-04-17,2026-04-17 10:12:00,18.03,18.03,2.39,1.0
Musculation_2026-04-14 07_22_46.fit,2026-04-14,2026-04-14 07:22:46,22.67,0.0,0.0,0.0
Course a pied_2026-04-22 14_12_43.fit,2026-04-22,2026-04-22 14:12:43,27.28,26.87,3.4,0.98
Musculation_2026-04-22 16_13_10.fit,2026-04-22,2026-04-22 16:13:10,31.18,0.0,0.0,0.0
Course a pied_2026-04-08 16_42_55.fit,2026-04-08,2026-04-08 16:42:55,12.05,11.85,1.63,0.98
Musculation_2026-04-18 08_51_19.fit,2026-04-18,2026-04-18 08:51:19,27.78,0.0,0.0,0.0
Course a pied_2026-04-20 16_12_25.fit,2026-04-20,2026-04-20 16:12:25,25.08,25.02,3.23,1.0
