section,variable,n_valid,mean,sd,median,q1,q3,min,max,median_iqr
H1 feasibility,n_weeks_reported,28,5.035714285714286,2.284928767139026,5.0,3.0,6.0,1.0,10.0,5.00 [3.00–6.00]
H1 feasibility,forms_coverage,28,0.6359268707482993,0.2926977695370313,0.6607142857142857,0.375,0.8571428571428571,0.125,1.0,0.66 [0.38–0.86]
H1 feasibility,forms_completion_rate,28,0.7061649659863946,0.28984232267469406,0.8166666666666667,0.475,1.0,0.125,1.0,0.82 [0.47–1.00]
H1 adherence,mean_adherence_ratio,28,0.7232879818594105,0.28266962200127194,0.7071428571428572,0.6133333333333333,0.9833333333333335,0.0,1.0,0.71 [0.61–0.98]
H1 adherence,mean_sessions_done,28,3.6164399092970525,1.4133481100063596,3.535714285714286,3.066666666666667,4.916666666666667,0.0,5.0,3.54 [3.07–4.92]
H1 adherence,forms_coverage,28,0.6359268707482993,0.2926977695370313,0.6607142857142857,0.375,0.8571428571428571,0.125,1.0,0.66 [0.38–0.86]
H1 weekly acceptability,clarity_mean,28,4.511904761904762,0.6961070045525932,4.8,4.166666666666667,5.0,2.2,5.0,4.80 [4.17–5.00]
H1 weekly acceptability,intensity_respected_mean,28,4.0603741496598635,0.9631056672894431,4.291666666666666,3.458333333333333,5.0,1.3333333333333333,5.0,4.29 [3.46–5.00]
H1 weekly acceptability,satisfaction_mean,28,4.218083900226757,0.7468257984501022,4.5,3.5,4.808333333333334,2.4,5.0,4.50 [3.50–4.81]
H1 weekly acceptability,confidence_mean,28,4.348299319727891,0.7776087326129287,4.633333333333333,4.0,5.0,2.4,5.0,4.63 [4.00–5.00]
H1 weekly acceptability,recommendation_mean,28,4.556845238095238,0.7984135941620356,4.9375,4.479166666666667,5.0,1.4,5.0,4.94 [4.48–5.00]
H1 final acceptability,mean_final_score,26,4.461538461538462,0.5774612874137438,4.625,4.25,4.9375,2.75,5.0,4.62 [4.25–4.94]
H1 final acceptability,global_use_score,26,4.461538461538462,0.5817744738827396,4.5,4.0,5.0,3.0,5.0,4.50 [4.00–5.00]
H1 final acceptability,process_score,26,4.538461538461538,0.7605665904189709,5.0,4.0,5.0,2.0,5.0,5.00 [4.00–5.00]
H1 final acceptability,confidence_score,26,4.230769230769231,0.9511127086814604,5.0,3.25,5.0,2.0,5.0,5.00 [3.25–5.00]
H1 final acceptability,recommendation_score,26,4.615384615384615,0.8038369524685005,5.0,5.0,5.0,2.0,5.0,5.00 [5.00–5.00]
H1 issues,n_reported_issues,26,0.5,1.104536101718726,0.0,0.0,0.75,0.0,5.0,0.00 [0.00–0.75]
