variable,n_A,n_B,A_median_iqr,B_median_iqr,A_mean,B_mean,mannwhitney_U,p_value,cliffs_delta_B_vs_A
mean_adherence_ratio,14,14,0.69 [0.53–0.92],0.88 [0.65–1.00],0.6422108843537415,0.8043650793650794,69.5,0.19449011080680834,0.29081632653061223
forms_coverage,14,14,0.83 [0.57–0.86],0.50 [0.30–0.86],0.7147108843537415,0.557142857142857,124.0,0.23815864916338203,-0.2653061224489796
forms_completion_rate,14,14,0.86 [0.62–1.00],0.64 [0.43–0.97],0.7572278911564627,0.6551020408163266,116.5,0.39982363564567336,-0.18877551020408162
n_weeks_reported,14,14,6.00 [4.00–6.00],5.00 [3.00–6.00],5.214285714285714,4.857142857142857,115.0,0.4388814325541782,-0.17346938775510204
satisfaction_mean,14,14,4.29 [3.50–4.83],4.63 [3.75–4.79],4.153231292517007,4.282936507936507,94.5,0.8897784155202926,0.03571428571428571
confidence_mean,14,14,4.75 [4.00–4.96],4.55 [4.06–5.00],4.293027210884355,4.4035714285714285,93.5,0.8514179312312404,0.04591836734693878
recommendation_mean,14,14,5.00 [4.54–5.00],4.84 [4.46–5.00],4.552380952380952,4.561309523809523,110.0,0.5721392997790482,-0.12244897959183673
mean_final_score,13,13,4.75 [4.50–5.00],4.50 [4.00–4.75],4.596153846153846,4.326923076923077,105.5,0.2835459989898861,-0.2485207100591716
global_use_score,13,13,5.00 [4.00–5.00],4.00 [4.00–5.00],4.538461538461538,4.384615384615385,100.0,0.38308525801951443,-0.1834319526627219
process_score,13,13,5.00 [5.00–5.00],5.00 [4.00–5.00],4.769230769230769,4.3076923076923075,107.0,0.17809118969565518,-0.26627218934911245
confidence_score,13,13,5.00 [4.00–5.00],4.00 [3.00–5.00],4.384615384615385,4.076923076923077,98.5,0.4461138771250154,-0.16568047337278108
recommendation_score,13,13,5.00 [5.00–5.00],5.00 [5.00–5.00],4.6923076923076925,4.538461538461538,86.5,0.9169052191945603,-0.023668639053254437
