variable,group,n,mean,std,median,q1,q3,min,max
age,A,14,32.0,9.097759656598473,34.0,31.0,37.0,3.0,39.0
age,B,14,33.785714285714285,2.636389472469774,34.0,33.0,35.75,28.0,38.0
postpartum_weeks,A,14,13.285714285714286,9.666982437687029,11.5,8.0,14.5,3.0,37.0
postpartum_weeks,B,14,13.857142857142858,11.148350294358098,9.0,5.25,20.25,3.0,40.0
children_count,A,14,1.7857142857142858,1.1217137594956026,1.0,1.0,2.0,1.0,4.0
children_count,B,14,1.6428571428571428,0.7449463436684921,1.5,1.0,2.0,1.0,3.0
seances,A,14,2.5454931972789114,1.557463069494891,2.7023809523809526,1.2142857142857142,3.7053571428571432,0.0,5.0
seances,B,14,2.179081632653061,1.3163041842748047,1.85,1.125,2.45,0.65,5.0
clarite,A,14,3.24000850340136,1.4444815763400243,3.660714285714286,2.084821428571429,4.285714285714286,0.5,5.0
clarite,B,14,2.60765306122449,1.5172593245110255,2.4,1.2000000000000002,4.107142857142858,0.8,5.0
respect_consignes,A,14,3.0289115646258504,1.3234912315139629,3.196428571428571,2.446428571428571,3.9642857142857144,0.5,5.0
respect_consignes,B,14,2.2392857142857148,1.391058997109034,2.1500000000000004,1.125,2.6607142857142856,0.4,4.5
satisfaction_seance,A,14,2.9355867346938775,1.2669343960772572,2.958333333333333,2.083333333333333,3.9642857142857144,0.625,5.0
satisfaction_seance,B,14,2.3416666666666663,1.296622008327266,2.3499999999999996,1.125,2.85,0.9,4.833333333333333
confiance,A,14,3.0187074829931975,1.301519529203063,3.071428571428571,2.107142857142857,4.013392857142858,0.625,5.0
confiance,B,14,2.436734693877551,1.3866114042386408,2.3499999999999996,1.275,3.196428571428571,0.9,5.0
recommandation,A,14,3.2117346938775513,1.4336328877484183,3.3392857142857144,2.1205357142857144,4.285714285714286,0.625,5.0
recommandation,B,14,2.625765306122449,1.5530924350457596,2.3499999999999996,1.275,3.946428571428571,0.6,5.0
n_formulaires_suivi,A,14,5.214285714285714,2.1547290184283368,6.0,4.0,6.0,1.0,10.0
n_formulaires_suivi,B,14,4.857142857142857,2.476260917566671,5.0,3.0,6.0,2.0,10.0
completion_suivi,A,14,0.7147108843537415,0.27090214966916126,0.8333333333333334,0.5714285714285714,0.8571428571428571,0.125,1.0
completion_suivi,B,14,0.557142857142857,0.30195594717530716,0.5,0.3,0.8571428571428571,0.2,1.0
satisfaction_generale_algorithme,A,14,4.625,0.4573123827151583,4.75,4.5,5.0,3.5,5.0
satisfaction_generale_algorithme,B,13,4.326923076923077,0.6644594872950572,4.5,4.0,4.75,2.75,5.0
nombre_problemes_algorithme,A,14,0.5714285714285714,1.398586413506136,0.0,0.0,0.0,0.0,5.0
nombre_problemes_algorithme,B,13,0.46153846153846156,0.6602252917735248,0.0,0.0,1.0,0.0,2.0
nombre_sessions_nolio,A,14,9.357142857142858,9.170245721539123,7.0,0.25,17.0,0.0,24.0
nombre_sessions_nolio,B,14,5.571428571428571,9.936059315708352,0.0,0.0,5.5,0.0,28.0
