variable,n_A,mean_A,std_A,median_A,n_B,mean_B,std_B,median_B,mann_whitney_U,p_value
age,14,32.0,9.097759656598473,34.0,14,33.785714285714285,2.636389472469774,34.0,101.0,0.9081601080589985
postpartum_weeks,14,13.285714285714286,9.666982437687029,11.5,14,13.857142857142858,11.148350294358098,9.0,98.5,1.0
children_count,14,1.7857142857142858,1.1217137594956026,1.0,14,1.6428571428571428,0.7449463436684921,1.5,97.5,1.0
seances,14,2.5454931972789114,1.557463069494891,2.7023809523809526,14,2.179081632653061,1.3163041842748047,1.85,113.0,0.5044977058285101
clarite,14,3.24000850340136,1.4444815763400243,3.660714285714286,14,2.60765306122449,1.5172593245110255,2.4,122.5,0.2694819384995275
respect_consignes,14,3.0289115646258504,1.3234912315139629,3.196428571428571,14,2.2392857142857148,1.391058997109034,2.1500000000000004,131.0,0.13514487821525575
satisfaction_seance,14,2.9355867346938775,1.2669343960772572,2.958333333333333,14,2.3416666666666663,1.296622008327266,2.3499999999999996,126.5,0.19788781213548634
confiance,14,3.0187074829931975,1.301519529203063,3.071428571428571,14,2.436734693877551,1.3866114042386408,2.3499999999999996,124.0,0.2407511151130296
recommandation,14,3.2117346938775513,1.4336328877484183,3.3392857142857144,14,2.625765306122449,1.5530924350457596,2.3499999999999996,119.0,0.3454364935874785
n_formulaires_suivi,14,5.214285714285714,2.1547290184283368,6.0,14,4.857142857142857,2.476260917566671,5.0,115.0,0.4388814325541782
completion_suivi,14,0.7147108843537415,0.27090214966916126,0.8333333333333334,14,0.557142857142857,0.30195594717530716,0.5,124.0,0.23815864916338203
satisfaction_generale_algorithme,14,4.625,0.4573123827151583,4.75,13,4.326923076923077,0.6644594872950572,4.5,117.5,0.19706922044246133
nombre_problemes_algorithme,14,0.5714285714285714,1.398586413506136,0.0,13,0.46153846153846156,0.6602252917735248,0.0,79.5,0.506477661453352
nombre_sessions_nolio,14,9.357142857142858,9.170245721539123,7.0,14,5.571428571428571,9.936059315708352,0.0,130.5,0.12057532243367952
